SP1_S-Smiliar,1019111200060,618424
SP1_S-Smiliar,1019111200060,618506
SP1_Consume,253961620499616457,574259
SP1_Consume,253961620499616457,615805
SP1_S-Smiliar,253961620499616457,366280
SP1_S-Smiliar,1199965439931,576631
SP1_S-Smiliar,602394572093,573107
SP2_U-Similar,60264262260589008,473712
SP2_S-Smiliar,60264262260589008,471183
SP2_Consume,60264262260589008,472029
SP2_U-Similar,60264262260589008,472090
SP2_Consume,60264262260589008,472093
SP2_U-Similar,60264262260589008,472307
SP2_S-Smiliar,60264262260589008,471001
SP2_S-Smiliar,60264262260589008,515318
SP2_S-Smiliar,60264262260589008,515321
SP1_S-Smiliar,172116444,575267
SP1_S-Smiliar,172116444,575279
SP1_S-Smiliar,172116444,573444
SP1_S-Smiliar,172116444,573671
SP1_Consume,172116444,574153
SP1_S-Smiliar,172116444,574037
SP1_S-Smiliar,492181621270432130,585863
SP1_S-Smiliar,492181621270432130,585933
SP1_S-Smiliar,274059275,573937
SP1_S-Smiliar,274059275,615868
SP1_U-Similar,274059275,383932
SP3_S-Smiliar,48128114291330309,509017
SP1_S-Smiliar,572026024016,431290
SP1_S-Smiliar,572026024016,350891
SP1_S-Smiliar,572026024016,27456
SP1_S-Smiliar,572026024016,27441
SP1_S-Smiliar,5730812116478,576797
SP1_Consume,6023962740739,573546
SP1_Consume,6023962740739,573578
SP1_U-Similar,6023962740739,573786
SP1_Consume,6023962740739,574169
SP1_U-Similar,6023962740739,574161
SP1_Consume,6023962740739,574596
SP1_S-Smiliar,6023962740739,574538
SP1_U-Similar,6023962740739,574884
SP1_Consume,6023962740739,574865
SP1_S-Smiliar,12000060240210,573582
SP1_Consume,12000060240210,574153
SP1_S-Smiliar,215413548112462861,366293
SP1_S-Smiliar,215413548112462861,228490
SP1_S-Smiliar,215413548112462861,228429
SP1_S-Smiliar,215413548112462861,234661
SP1_S-Smiliar,215413548112462861,126490
SP1_S-Smiliar,21163110192411,575322
SP1_S-Smiliar,21163110192411,575351
SP1_S-Smiliar,21163110192411,575473
SP1_U-Similar,21163110192411,575442
SP1_S-Smiliar,21163110192411,575527
SP1_S-Smiliar,21163227407512,576387
SP1_S-Smiliar,21163227407512,576489
SP1_S-Smiliar,21163227407512,576755
SP1_S-Smiliar,21163227407512,576884
SP1_S-Smiliar,21163227407512,576923
SP3_S-Smiliar,10446352278686603,254000
SP3_S-Smiliar,10446352278686603,253996
SP3_S-Smiliar,10446352278686603,253960
SP3_S-Smiliar,10446352278686603,253891
SP3_S-Smiliar,10446352278686603,170824
SP3_S-Smiliar,10446352278686603,170927
SP3_S-Smiliar,1525573071,435453
SP3_S-Smiliar,1525573071,435458
